Charge Code Description,Rate
TUBE T-DEAVER DRAIN 12FR,62.28
TUBE TRACH CUFFED 5.0,6.32
TUBE TRACH CUFFED 5.5,6.2
TUBE TRACH CUFFED 6.0,6.28
TUBE TRACH CUFFED 7.0,6.32
TUBE TRACH CUFFED 7.5,6.32
PACK VAGINAL,9
DRESSING VASELINE 3X9,1.84
DRESSING VENIGARD ADH,3
SLING ARM XL,7.8
COLLAR CERVIC FOA MD XLOG,14.16
IMMOBILIZER KNEE XL,50.96
TED HOSE KNEE XL LONG,21.04
IMMOBIL SHOULDER WOMEN XL,26
SLING ARM SM,6.6
IMMOBIL SHOULDER MEN XS,34.16
IMMOBIL SHOULDER WOMEN XS,35.32
YANKAUER W/CONTR BULB TIP,1.44
YANKAUER W/O CONTR OP TIP,1.6
TUBING SUCTION CONNECTING,3
COLOSTOMY POUCH 1-1/2 IN,9.96
SPLINT FINGER PAD 1-5/8,2.68
SPLINT FINGER COT 1-1/2,3.32
GAUZE PLAIN PK 1/2INX5YD,9.12
PENROSE DRAIN 1/2X12,1.88
PENROSE DRAIN 1/2X18,1.6
PENROSE DRAIN 1/4X18,1.88
SPLINT LEWIN BASEBALL 4,8.32
SPLINT FINGER ZIMFOA 1X18,4.84
CATHETER FOLEY 10FR 3CC,27.84
TUBE SALEM SUMP 10FR,8.52
TUBE T-DEAVER DRAIN 14FR,62.28
ENDO SURGINEEDLE 150MM,67.59
CATHETER COUDE 16FR 30CC,17.68
CATHETER COUDE 24FR 5CC,39.24
NASOPHARYNGEL AIRWAY 16FR,36.23
TUBE T-DEAVER DRAIN 18FR,62.28
CATHETER COUDE 16FR 5CC,36.16
NASOPHARYNGEL AIRWAY 18FR,36.23
CATHETER FOLEY 18FR 5CC,15.16
COLOSTOMY POCH 2-1/2 CUST,12.76
COLOSTOMY POUCH 2-1/4 IN,16.92
SPLINT FINGER PAD 2-5/8,2.68
FIBERGLASS CAST TAPE 2,9.96
SPLINT FINGER COT PAD 2,3.32
DRESSING TELFA ISL 2X3.75,1
CATHETER FOLEY 20FR 5CC,15.24
TUBE T-DEAVER DRAIN 20FR,62.28
TUBE GASTRO KIT 18FR 20CC,95.7
NASOPHARYNGEL AIRWAY 20FR,36.23
NASOPHARYNGEL AIRWAY 24FR,36.23
CATHETER FOLEY 26FR 5CC,14.88
NASOPHARYNGEL AIRWAY 26FR,35.11
NASOPHARYNGEL AIRWAY 28FR,36.23
SPLINT FINGER COT 3-1/2,3.32
SPLINT FINGER ZIMFOA 3/4,4.16
SPLINT FINGER PROTE 1-1/2,5.48
DRESSING ADAPTIC 3X3,1.28
NASOPHARYNGEL AIRWAY 30FR,36.23
CATHETER THORAC TROC 36FR,24.2
NASOPHARYNGEL AIRWAY 32FR,36.23
NASOPHARYNGEL AIRWAY 34FR,36.23
NASOPHARYNGEL AIRWAY 36FR,36.23
DRESSING TEGADERM 3.5 X10,7.32
DRESSING TELFA ISL 4X5,2.72
DRESSING ADHES SURGI 4X8,2.08
CATHETER UMBILIC VESL 5FR,47.64
DRESSING XEROFORM 5X9,3.48
SPLINT LEWIN BASEBALL 3,7.68
DRESSING CONFORM ST 6IN,2.68
DRESSING TEGADERM 6X8,6.92
CATHETER ALL PURPOSE 08FR,1.68
DRESSING TEGADERM 8X12,9.08
NEEDLE COUNTER FOAM BLOCK,6.5
CATHETER ADAPTER URETERAL,4.17
SCALPEL DISPOSABLE #10,25.4
DRESSING COVE ROL 4X2YD,16.04
MESH PREFIX SM PLUG,407.88
TUBING LAPROSCOPIC IRRIGATION W/SPIKE,43
DRESSING KLING SOF 2,1.24
CAST PAD 2x4YD ROLL,3.56
SPLINT CAST PLASTER 3 RL,16.08
SPLINT CAST PLASTER 4 RL,17.94
CAST PAD 4X4YD ROLL,6.76
SPLINT CAST PLASTER 5 RL,18.4
CAST PAD 6X4YD ROLL,5.68
GAUZE 4X4 STERILE,7.76
GAUZE T-DRAIN 6PLY 4X4 ST,1
SENSOR  O2 DISP INFANT,26.12
DRAPE ENDOSCOPIC,50
SENSOR O2 DISP PEDI,36.58
SENSOR O2 DISP ADULT,37
URINE METER,30.64
STYLETTE PEDI/NEONATE SMALL,12.04
IV SUPPORT HANDAID ADULT,12.44
LAP SPONGE PREWASH 18X18,6.88
SPECULUM SIGMODOSCOP DISP,11.4
SPLINT COLLES YOUTH LEFT,22.52
SPLINT COLLES CHILD LEFT,21
SPLINT COLLES CHILD RIGHT,21
SUPPORT KNEE ELASTIC MED,9.08
SPLINT FOREARM RT AD PLAS,35.8
SUPPORT KNEE ELASTIC SM,9.08
SPLINT COLLES CHILD SM LF,21
SPLINT COLLES CHILD SM RT,21
SPLINT FINGER STAX,6.4
SPLINT COLLES ADULT LEFT,23.12
SPLINT COLLES ADULT RIGHT,23.12
SPLINT COLLES ADULT,13
SPLINT FINGER BB 2-1/4,5.4
SPLINT COLLES YOUTH RIGHT,22.52
COLOSTOMY POUCH 2-3/4 IN,9.08
MESH PREFIX LG PLUG,407.88
CATHETER 3WAY 20FR 30CC,30.63
SPANDAGE #4,1.5
SPANDAGE #5,1.5
SPANDAGE #7,2.25
TUBE TRACH CUFFED 8.5,5.92
TUBE TRACH CUFFED 9.0,5.92
DRESSING ADAPTIC 5X9,5.44
DRESSING TELFA 3X4,1
DRESSING TELFA 3X6,1
DRESSING TELFA 3X8,1
DRESSING ADAPTIC 3X16,4.2
IMMOBILIZER KNEE LARGE,50.61
SUTURE TIES,6
TUBE SALEM SUMP 16FR,8.52
IV SUPPORT ANTECUBITAL,51.52
GAUZE IODOFORM 1INX5YD,14.88
NEEDLES HUBER 22GX1,13.56
NEEDLES HUBER 20GX1,14.92
TUBE TRACH CUFFED 6.5,5.92
TUBE TRACH CUFFED 4.5,6.56
TUBE TRACH UNCUFFED 2.5,4.6
ENDO PROBE RIGHT ANGLE 5M,106.5
CATHETER COUDE 18FR 5CC,36.16
CATHETER FOLEY 08FR 3CC,27.88
CATHETER FOLEY 22FR 30CC,18.48
SPLINT COCKUP SM RIGHT,26.4
SPLINT COCKUP SM LEFT,26.4
SPLINT COCKUP MED RIGHT,27.48
SPLINT COCKUP MED LEFT,26.4
SPLINT COCKUP LG LEFT,26.4
SPLINT COCKUP LG RIGHT,27.48
SPLINT COCKUP XL LEFT,26.4
SPLINT COCKUP XL RIGHT,26.4
CAUTERY PENCIL ELECTRSURG,12.6
BVM PEDIATRIC,39.03
TED HOSE THIGH LG REG LF,33.84
TED HOSE THIGH LG LONG LF,33.84
TED HOSE THIGH LG SHORT,35.88
TED HOSE KNEE MED REG,20.68
SYRINGE ASEPTO IRRIG BULB,3.52
COLOSTOMY BELT,38.48
WRAP CALF ALT LEG PRES LG,75.6
WRAP CALF LEG ALT PRES RG,66.5
CATHETER THORAC TROC10FR,57.16
CATHETER THORAC TROC 16FR,64.02
CATHETER THORAC TROC 20FR,57.16
CATHETER THORAC TROC 24FR,63.07
CATHETER THORAC TROC 28FR,63.07
CATHETER THORAC TROC 32FR,57.16
CATHETER THORAC TROC 08FR,52.29
SUPPORT KNEE ELASTIC LG,9.64
SUPPORT KNEE ELASTIC XL,9.08
GOWN SURGICAL,12
AIRWAY 50MM INFANT,1
AIRWAY 40MM NEONATAL,1
IMMOBILIZER KNEE SMALL,49.14
IMMOBILIZER KNEE MEDIUM,50.26
IMMOBIL SHOULDER MEN LG,26
IMMOBIL SHOULDER MEN XL,27.04
IMMOBIL SHOULDER MEN MED,26
IMMOBIL SHOULDER MEN SM,34.16
SLING ARM MED,6.88
SUPPORT ANKLE ELASTIC MD,9.08
PAD HEAT THER T-PAD 15X22,21.92
STAPLER CLIP APPL 13.25M,167.8
TED HOSE THIGH MED REG,30.16
COLOSTOMY WAFER 2-3/4,10.04
GAUZE IODOFORM 1/2INX5YD,11
TUBE T-DEAVER DRAIN 10FR,62.28
TUBE T-DEAVER DRAIN 16FR,62.28
AIRWAY 60MM CHILD,1
TUBE TRACH UNCUFFED 4.0,4.6
SPANDAGE #1,1
SPLINT FINGER BB 2-3/4,5.36
POST OP SHOE WOMEN MEDIUM,24.96
POST OP SHOE WOMEN LARGE,24
POST OP SHOE MEN LARGE,24
SPLINT THUMBKEEPER LF MED,85.56
SPLINT THUMBKEEPER RT MED,79.56
SPLINT THUMBKEEPER LF LG,79.56
STAPLER PROXIMATE PXW35,31.08
SUPPORT ANKLE ELASTIC SM,11.44
STAPLE RELOAD LINEAR 45MM WHITE TR45W,442.59
COLLAR EXTRICA-REG,18.44
ELECTRODES TELEMETRY SET OF 3,3
POST OP SHOE MEN SMALL,24
POST OP SHOE MEN MEDIUM,24
TUBE T-DEAVER DRAIN 8FR,62.28
TUBE TRACH UNCUFFED 2.0,4.6
TED HOSE THIGH LG LONG,30.16
SUPPORT KNEE ELASTIC XXL,16.4
BLADE GIGLI ROUND SAW DIS,59.9
TED HOSE KNEE MED LONG,20.64
TUBING SUCTION 18 GOMCO,3.68
TUBING SUCTION 6 GOMCO,3
HEAD IMMOBLIZER ADULT,19.56
JACKSON PRATT DRAIN 10MM,24.4
TRAY CATHETER FOLEY 14FR,33
YANKAUER W/O CONTR W/TUB,7.88
BVM ADULT AMBU,36.72
SUPPORT ANKLE ELASTIC XL,11.44
NASAL PK RAPID RHINO,96
CATHETER ALL PURPOSE 22FR,1.68
ESOPHAG DILA BALLOON 45F,271.88
ESOPHAG DILA BALLOON 54F,271.88
ENDO INFLAT SYR 60ML W/G,124.98
DRESSING TEGADERM IV 3.5,4.08
DRESSING TEGADERM TRAN 2,1.28
BENZOIN AMPULE,1.71
BANDAGE ACE 6 W/VELCRO,4.76
VALVE PRESSURE ACTIVA,7.72
TUBE COMBI TRACHEAL 37FR,155.13
DRAPE HYSTOSCOPY D/C,39.15
SYRINGE 60CC CATHETER TIP,3
ENDO GIA 45 RELOADS B6R45B-BLUE,376.01
MESH DUAL GORE 10x15x1,"1,560.00"
STAPLER GIA  55MM  TLC55,278.33
STAPLES GIA 75MM RELOADABLE STAPLER,225.53
STAPLES LINEAR 60MM RELOD,135.38
MASK LARYNGEAL SOFT SZ 3,30.08
MASK LARYNGEAL SOFT  SZ 4,30.08
MASK LARYNGEAL SOFT  SZ 5,36.58
"IMMOBILIZER KNEE UNIV 22""",55.86
NASAL AIRWAY ADJU 22FR,21.6
TUBE SALEM SUMP SIL,37.59
DRESSING TEGADERM IV 2.75,1.36
TUBE GASTRO KIT 22FR 20CC,99.39
YANKAUER W/CONTR W/TUBING,6.15
STAPLER CLIP APPL 11.5M,165.05
SPLINT FINGER PROT 3-1/2,5.96
NEEDLES HUBER 20GX3/4,14
MESH DUAL GORE 20X30X1,"5,073.00"
SUCTION CANISTER 1500CC,6.32
ENDO STAPL 5MM PROTACK,498.75
SPLINT COLLES ADULT RT LG,19.4
SPLINT COLLES ADULT LF LG,19.4
SPLINT COLLES ADULT LF MD,18.28
SPLINT COLLES ADULT RT MD,18.28
TRAY CATH FOLEY 16FR LF,45.01
WRAP CALF ALT LEG PRES SM,66.5
PAD HEAT THER T-PAD 18X26,27
COLOSTOMY POUCH 1-3/4 IN,10.08
FORCEP HOT BIO OVAL DISP,419.53
ENDO TRACH TUBE HOLDER,12.04
TROCAR ENDO B12LT 100MM,177.68
TROCAR ENDO B5LT,134.23
TROCAR ENDO SLEEVE CB5LT,94.08
TROCAR ENDO SLEEVE CB12LT,120.75
PORT-A-CATH,732.5
PORT-A-CATH INTROD 11FR,133.8
TUBE GASTRO KIT 20FR 20CC,95.7
TROCAR ENDO B5ST,143.4
TROCAR ENDO SLEEVE CB5ST,100.05
TUBE SALEM SUMP 14FR,8.52
DRAPE SHEET EXTREMITY,14.7
DRAPE ALLEN LEG SAFETY,62.65
SCALPEL SAFETY DISPO #15,7.96
SCALPEL SAFETY DISPO #10,7.92
SCALPEL DISPOSABLE #11,31
COLOSTOMY WAFER 2-1/4,18.04
COLOSTOMY WAFER 1-3/4,18.68
TROCAR ENDO B12XT 150MM,206.08
TROCAR ENDO B12SRT 75MM,189.83
ENDO CLIP 5M LIGMAX APPLI,472.1
GROSHON 2 LUME CEN LINE,870
TROCAR ENDO B5XT,155.73
THERMAL ANGEL BLOOD WARME,350
SCALPEL SAFETY DISPO #11,7.04
SUTURE ENDOLOOP VICRYL,419.1
DRAPE MAGNETIC,14
STAPLER ENDO FLEX REG,957.53
DRESSING TEGADERM 1 3/4 X 1 3/4,1
COLOSTOMY POUCH 1-1/4 IN,5.12
STAPLER LINEAR 60MM RELOD,289.2
STAPLES ENDO 45MM GREEN RELOAD TR45G,397.75
BONE WAX 2.5 GRAMS,133.26
BANDAGE ESMARK 4X9 ST LF,11.92
BITE BLOCK PEDIATRIC,19.28
FORCEP TRIPOD POLY GRASP,246.03
SNARE DISP SOFT 25MM,39.38
CHLORAPREP APPLICATOR ONE STEP,14.25
ESOPHAG DILA BALLOON 20M,274.76
TUBE FEEDING J PULL 12FR,235
TUBE PEG STAND PULL 20FR W/LIDOCAIN,271.5
BINDER ABDOMINAL XL,59.76
STAPLER ENDO 29MM ECS29,897.65
TAPE MEDIPORE  6X2 SURGICAL,16.92
DRAPE C-ARM,18.5
TUBING SUCTION 7MM 9/32,69.55
TROCAR BALLOON SPACEMAKER,"1,173.95"
BINDER ABD MD/LG,40.5
BINDER ABD LG,46.41
KIRSCHNER WIRES 6/.062,92.25
BLADE OSCILLATING DISP,170.95
SHEET THREE QUARTER DRAPE,9
CLOTH BARRIER PERI-CHECK,8.04
STAPLER GIA 100MM TLC10,677.65
STAPLER LINEAR CUT RELOAD,356.58
AIRWAY ADAPT CAPNOCHECK,45.29
PAD MULTIFUNCT ZOLL ADULT,111.97
PAD MULTIFUNCT ZOLL PEDI,111.97
LOOP RED MINI,89.1
MASK CAPNOXYGEN ADULT,24
MASK CPAP ADULT X-LG,77.49
MASK CPAP ADULT LG,77.49
MASK CPAP ADULT MED,96
MASK CPAP ADULT SM,77.49
ENDO TRACH TUBE HOLD BL,14.28
DRESSING XEROFORM 1X8,92.16
BONE GRAFT PURO DBM PUTTY,"1,447.98"
POST OP SHOE ORT WEDG XS,45.5
POST OP SHOE ORT WED SM,45.5
POST OP SHOE ORT WEDG MD,45.5
POST OP SHOE ORT WEDG LG,45.5
POST OP SHOE ORT WEDG XLG,45.5
M.A.D. W/3ML SYRINGE,13.88
POST OP SHOE MEN X-LARGE,28.32
CRICOTHYROTEMY SET 6.0,375.88
SPLINT ST BARBARA THUMB,71.16
SPLINT THUMBKEEPER SM RT,86.61
SPLINT THUMBKEEPER SM LF,86.61
IV CATH ANGIOCATH 14X5.25,54.71
ADAPTER AIRWAY ZOLL PEDI/ADULT,36.12
TAPE MEDIPORE 4X2 SURGICAL,8.56
COLLAR STIFNECK ADULT,28
TRAY FOLEY/URINE METER,53.5
STAPLES PROX XR60G RELOAD,130.01
DRAPE IOBAN 35X17,29
DRAPE IOBAN 13X13,19
GAUZE PACKING ANTIMICROBIAL,3.15
CATHETER-KUMAR LAP CHOLE,96
BINDER ABD SM/MD,48.33
STATLOCK SECURE FOLEY DEVICE,16.65
NEEDLE EZ IO PEDI SET,267.5
NEEDLE EZ IO ADULT SET,247
TRAY EPIDURAL CUSTOM,57
VALVE ANTI-REFLUX SALEM,22.56
DRAPE LAPAROTOMY SHEET,23.65
SYRINGE EPI-LOR 7ML,16.75
EYE SHIELD ALUMN CONVEX,3.8
NEEDLE BIOPSY 14X3 TRUCUT,77.35
VALVE HEIMLICH CHEST DRAI,107
TRAY LACERATION I&D,57.5
TED HOSE KNEE 2X LONG,20.64
TUBE BAKER JEJUNOSTOMY,426.76
POWDER STOMA PROTECTIVE,18.6
OSTOMY SPRAY BARRIER FILM,32.2
COLOSTOMY ONE PIECE CONVEX,41.05
IV FLUID/BLOOD DISP CARTRIDGE,52.61
NASAL PK RHINO ROCKET LG,59.88
PAD DEFIB ADULT ZOLL COMPLETE,255
LARYNGOSCOPE VIDEO GVL 3,49
LARYNGOSCOPE VIDEO GVL 4,49
STAPLER ENDOPATH ECS33,620
LARYNGEAL TUBE KING LTS-D,125.43
LARYNGEAL KING LT-D-2,118.65
MALECOT 20 FR TUBE,33.8
TED HOSE THIGH 2X REG,30.2
MESH DUAL 15CMX19CM,"1,692.00"
MORGAN MEDI FLOW LENS,102.3
TUBING INSUFFLATION SET,24.8
POWER PORT CATHETER 8FR,"1,822.50"
AIRWAY SUPRAGLOTTIE,68.85
SAM SLING,242.1
SUPPORT ANKLE ELASTIC XXL,10.5
TED HOSE KNEE XL SHORT,20.64
CATHETER 3WAY 22FR 30CC,30.63
AIRWAY SUPREME LMA 3,65.2
AIRWAY SUPREME LMA 4,65.2
AIRWAY SUPREME LMA 5,65.2
AIRWAY SUPREME LMA SZ 2,65.2
EZ IO NEEDLE 45 MM,201.25
DRESSING BIOPATCH DISK,23.38
LARYNGOSCOPE VIDEO GVL 1,54
LARYNGOSCOPE VIDEO GVL 2,54
LARYNGOSCOPE VIDEO GLV 0,54
LARYNGOSCOP VIDEO GLV 2.5,54
ALLEVYN MULTISITE GENTLE BORDER,34.8
DRESSING COVER ROLL 6 IN,21.3
BLANKET DISPOSABLE GRAY,17.1
TOWEL STERILE OR BLUE,6.84
Pillow Disposable/Transfer,5.52
PULLUP LG PKG OF 3,5.8
PULLUP S/M PKG of 3,5.3
TRANSPORT COCOON DISPOSABLE,34
STAPLER CLIP APPLIER SM MCS20,131.2
TIB/FIB LG LEFT W/STRAPS,150.09
CATHETER URETH OPEN END F,27.45
ZIPWIRE 0.035MM 150CM GLIDEWIRE,126.63
"BANDAGE COBAN LF 4"" STERILE",10.07
PERI-CHECK BARRIER CLO,10.75
ENDO PROBE RIGHT ANGLE,100
SUCTION CANISTER,8
NEEDLE BONE MARROW,71.85
DRESSIN DUODERM X THIN,19
CATHETER ALL PURPOSE R,3
TRAY CATHETER FOLEY AN,26
IV CATHETER PROTECTIVE 14G,5
RESTRAINT WRIST PAIR,25.35
DILATOR ESOPHAGEAL BAL,488
PROBE BIPOLAR HEMOSTASIS,340
NEEDLE SCLEROTHERAPY D,78
SPLINT FINGER ANY SIZE,7
TRAY GAUZE 4X4 STERILE 12 PLY,3
TED HOSE THIGH XL REG,31.5
PAD MATERNITY,5
URINE BAG PEDI,3
CORD CLAMP,5.4
TUBING SUCTINO CONNECT,3
GAUZE PLAIN PACKING 1/4,7
BILE BAG,26.04
BAG URINARY DRAINAGE L,6
URINE STRAINER,5
POOL GUARD,3
SPECIMEN UA CONTAINER,3.15
GAUZE SPONGE RAYTEC,3
DSG KLING STERILE ANY SIZE,3
DRESSING KERLIX ST 4.5,4
GAUZE STERILE 4X4 PKG,3
GAUZE VASELINE PETRO 3,4
DRESSING OP-SITE 5X4,5
BVM AMBU ANY SIZE,37
BANDAGE COBAN ANY SIZE,4
GAUZE NU GAUZE 1 INCH,21.6
DRESSING TELFA ADHESIVE,3
DRESSING DELFA>16<48,3
DRESSING KLING NON STR,3
SHAMPOO COMFORT CAP,8.64
SHAMPOO NO RINSE,4.68
NEEDLE HUBER ANY SIZE,11
COLOSTOMY SURE FIT WAFE,11.4
BRUSH BRONCHIAL CYTOLO,45
CAUTERY BLADE EXTENSION,12
IV EXTENSION W/CLAVE,5.75
IV CLAVE NEEDLELESS NE,12.6
CAUTERY TIP CLEANER,3
SPECULA VAGINAL DISP E,4
ENEMA BAG,3.15
SNARE ROTATABLE OVAL D,65
CAUTERY GEL PAD,7
SHAVE CREAM,3.15
BED PAN PLASTIC,3.2
EYE PATCH PRESSED,3
DRAPE HYSTO D&C W/POCK,25.83
ICE PACK PERSONAL,5
STAPLER TA 30,226
STAPLER LDS15W,898
SIGMOISOSCOPIC SUCTION,4.6
MARKER SKIN SCRIBE STE,5
IV TUBING SECONDARY,5
IV EXTENSION TWIN SITE,11.75
WRAP CALF ALT LEG PRES,57
STAPLE REMOVER TRAY,4
STAPLER DISP 5 COUNT,13
BETADINE SWAB STICK,3
BENZOIN SWAP STICK,3
ECHO GUIDE FOR BIOPSY,162
BX PUNCH,9
BETADINE SCRUB 4OZ,3.15
TUBE ESOPHAGEAL BLAKEM,467.12
CAUTERY NEEDLE TIP VAL,3
RAPID FLOW DEVICE-MSI,3
CONMED PULL FEEDING TUBE,271
STERI-STRIP 1/4 INCH,4
DENTURE CUP,3.15
GAUZE PLAIN PACKING 1/2,7
GAUZE 4X4 STERILE,6
KANGAROO BAG,18
STERILE SALINE IRRIGATION,3
TUBING IRRIGATION SET CYSTO W/SPIKE,52.5
NEEDLE SPINAL,5.78
CATARACT/INTRA OC LENS,750
PLASTER CASTING,214
LINEAR CUTTER RELOAD 5,182.25
SPLINT FINGER ZIMFOAM,4
TAPE ELASTIKON 18 INCH,11
SPLINT CLAVICLE ANY SIZE,16
IMMOBILIZER SHOULDER,18
SURGICAL BLADE,3
SURGICEL 4X8 INCH,166.67
B/P CUFF DISP,15
TUBE TRACHEAL ANY SIZE,98
COMBITUBE,160
NEEDLE SPINAL 22GX3.5,9
ENDOMETRIAL ASPIRATORS,8.45
DRESSING TEGADERM ANY SIZE,4
DRESSING ALLEVYN 5X5,24
STAPLER TA60,517.34
STAPLER  RELOAD TA60 BLUE,381
TUBE ENDO TRACHEAL HOL,8
DRESSING ALLEVYN 3X3,9
CATHETER PLUG,3.15
TRAY TRACH CLEAING,7
MASK ANESTHESIA CHILD,7.2
BREATHING CIRCUIT ANY SIZE,18
NIPPLE SHIELD,8.58
BLUE PADS/INCONTINENCE PADS,3.15
BETADINE TOPICAL SOLUTION,5.5
GAUZE STERILE 2X2,5
TRAY LACERATION DISPOS,15
PRESSURE INFUSIOR DISP,31.11
TRAY CENTRAL LINE,15.5
SYRINGE 3CC,3
SYRINGE 10CC,3
SYRINGE 12CC,3
SYRINGE 30CC,3
SYRINGE 60CC,3
SYRINGE 6CC,3
MASK ANESTHESIA ADULT,11.98
PCA PUMP SET UP,183
BENZOIN AMPULE,3
TUBING SUCTION 18 INCH,4
TUBING SUCTION 6 FEET,3
CATH SUCTION 5/6 FR,3
TUBING CONNECTOR,4
TUBE SALEM SUMP ANY SIZE,4
SLIPPERS TERRY TREAD,3
CREAM SWEEN,3.15
TRAY SUTURE REMOVAL DI,4
BAG WOUND DRAINAGE,30.5
IV NITRO SET TUBING,37.76
BLOOD INFUSION SET,51.55
CAST FOREARM ADULT,48.15
STOCKINETTE (PER YARD),4
RESTRAINT POSEY VEST,33.09
RESTRAINT WRIST/ANKLE,14
CANNULA NASAL,11
GAUZE SPONGE PEANUT/KI,4.05
SPONGE TONSIL MED X-RAY DET,11.16
SUPPORT ELBOW TENNIS/N,29.46
IV WRIST SUPPORT,9
DRESSING ADAPTIC ANY SIZE,7
CAUTERY SURGERY PENCIL ROKERSWITCH,13
EMERGENCY INFUSION DEV,57.6
IV PLUM  Y-EXTEN  W/CLAVE,18.25
CLAVE ADAPTER,4.7
STAPLER PURSTRING,341
SPLINT COLLES ANY SIZE,24
BLADE SURGICAL CLIPPER,10
CORKSCREW ANCHOR WIRE,240
BRIEF MESH PANTY,3.03
MESH 6X6 INCH,397
MESH 3X6 INCH,223
MESH PREFIX LG PLUG,476
MESH PREFIX MED PLUG,723
MESH DUAL 10CM X 15CM,"1,300.00"
SPANDAGE #9,3
HIBICLENS SCRUB 4 OZ,8.45
BLADE SURGICAL,5.97
STAPLER ENDO 25MM  ECS25,"1,242.00"
BITE BLOCK,9
COMMODE SPEC CONTAINER,3.15
DRESSING COVER ROLL 4I,15
GLUCOMETER USE PER DAY,48.24
STOOL SPECIMEN CUP,3.15
URINAL,3.15
URINE MIDSTREAM CONTAINER,3.15
YANKAUER SUCTION,3
GELFOAM SPONGE 16 SQ INCH,109.2
IV D5NS 1000ML,3
IV NS 1000ML,20
IRRI NS 500ML,15
IRRI  NS 1000ML,15
IRRI H2O 500ML,20
IRRIG ST WATER 500ML,15
IRRI H2O 1000ML,20
MESH DUAL 18CM X 24CM,"3,470.00"
STATLOCK PICC PLUS,20
DRESSING IODOFORM PER,10.6
"LEAD NEUROSTIMULATOR, IMPLANTABLE TEST","4,000.00"
CRUTCHES,11.5
Airway Humidification per day,0
K-WIRE 100X1.  K100-11S,24.22
"SCREW, DUAL THRED 3.0X16MM",428.52
K-WIRE 0.9X100 SGL TROCAR,24.22
SCREW DUAL THRED 2.0X23MM,418.84
SCREW DUAL THRED 2.0X20MM T,418.84
PLEUR X DRAINAGE KIT,200.25
BIOPATCH 2.5CM X 7.0MM,13.55
EZ IO STABILIZER,25.78
PAD DEFIB PEDI ZOLL COMPL,73.5
RADIAL JAW 4 DISP BIOPSY FORCEP 2.8,80
RADIAL JAW 4 DISP BIOPSY FORCEP 3.2,80
TRAY LACERATION ER,26.04
SUPPORT KNEE NEOPRENE M,52.5
SUPPORT KNEE NEOPRENE L,52.5
SUPPORT KNEE NEOPRENE XL,52.5
TRACH INTRODUCER BOUGIE,49.01
AIRWAY KING KIT SIZE 5,171.46
CRUTCHES ADULT REG,34.64
CRUTCHES CHILD REG,34
CRUTCH YOUTH,45.08
ADAPTER CENTRAL LINE,9.72
"IV CATH EXTENSION SET 5.7""  VOL 0.7ML",11.09
WOUND CANISTER,132.05
DRESSING BRIDGE GRANUFOAM,122.98
"KIT NG 21G,10PA",45.6
"PROBE COVER W/ GEL 48"" CENTRAL LINE",39.37
KIT PICC,428.75
TRAY CATH  FOLEY 18FR LF,45.01
ENDO RADIAL JAW 2.8 1331,175
DRAPE TABLE COVER,3
LARYNGEAL AIRWAY 2.5,142.45
GAURDIVA,11
KIT CENTRAL LINE DRESSING,50
SPLINT THUMB SPICA RIGHT UN,25.6
SPLINT THUMB SPICA LEFT UN,25.6
MASK ANESTHESIA INFANT,3
BRACE HUMERUS MED,266.25
BRACE HUMERUS LG,"26,625.00"
SAM SPLINT,33.15
VIA GUARD SUCTION SET,78.4
STAPLER PROXIMATE 55MM TCR55,125.7
TED HOSE KNEE XXXL REG,24.68
CHLORAPREP W/ TINT,14.49
KIT SEXUAL ASSAULT,44.88
STAPLES 45MM GREY RELOAD ETS45,258.17
CAUTERY SCISSOR DISPOSABLE,152.5
INTRODUCER MICRO EZ,157.5
STOCKINETTE 4IN X 48IN,6.39
MASK ANESTHESIA LARGE ADULT,3
K-WIRE,150.5
CANULATED SCREW,413
COUNTER SINK 4.0,262.5
TRIMIT PIN 2MM,525
MICRO HEADLESS SCREW 2.5X14,738.5
MICRO DRILL 2.5,262.5
QUICK WIRE,110.25
TOURNIQUET C.A.T,104.33
"TOURNIQUET DISPOSABLE 18""",81.76
"TOURNIQUET DISPOSABLE 24""",81.79
DRAPE TIBURON LIMB BILATERAL,47.44
FORCEP RADIAL JAW,122.5
GUIDE WIRE 1.35MM,75.25
IV TUBING PRIMARY SET,13.7
VALVE BIOPSY BIOSHIELD,18
MASK CPAP 02-MED,116.98
MASK CPAP 02-LG,116.98
DRESSING NON-ADHERING 3X3,1.37
TUBE EXCHANGER 80CM 19CH,73.5
ENDOSCOPIC CENTERLINE RELEASE,500.5
SKIN GRAFT CARRIER DERMAGRAFT,122.5
DERMATOME BLADE,146.03
TRIMIT PIN 1.5MM,525
TOE MATE SMALL 3.8,"2,697.00"
INSTRUMENT PACKAGE 3.8,698.25
"TUBING COIL 60"" LOW PRES",13.1
CANNULATED SCREW 4.0X22MM,413
MICRO HEADLESS SCREW 2.5 #20,663
QUEASE QUICK PACK NAUSEA,34.02
TED HOSE KNEE 2X REG,26.55
EAR BUDDIES,38.93
SUPPORT KNEE NEOPRENE SMALL,56.09
DRAPE IOBAN INCISE 23X17,17.82
K-WIRE,110.25
20MM PHALANGEAL REAMER,787.5
20MM METATARSAL REAMER,787.5
2.0MM DRILL,191.25
STANDARD LEFT MTP PLATE,"1,714.50"
3.0MMX20MM LOCKING SCREW,276.5
3.0mm X 18MM LOCKING SCREW,276.5
